 	 El caballero de la noche 2008 	  Action, Crime, Drama  	 When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.  	 2 	 8
 	 EL PADRINO 	 Crime, Drama  	 The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son. 	 2 	 8
